Id	 Prenom	 Nom	 Sexe	 Equipe	 Epreuve	 Annonce	 Resultat	 Place	 Resultat pris en compte equipe	 Place Equipe	 Disqualification	 Description
8	Maria	XIROUXAKI	F	BBIG	spd	45	45	1	45	1	false	ras
30	Jindriska	ZAJACOVA	F	Apneaman CZE	spd	50	50	2	50	2	false	ras
1	Florence	TABOUREL	F	AURApnea	spd	60	60	3	60	3	false	ras
60	Rebeka	STARKOVA	F	Apneaman2	spd	60	60	3	60	3	false	ras
13	Joanna	BOURRIEN	F	FORZAPNEA	spd	90	90	5	90	5	false	ras
37	Leila	FABBI	F	Les ponneys fringants	spd	120	120	6	120	6	false	ras
38	Clara	HUGON	F	Les ponneys fringants	spd	120	120	6	120	6	false	ras
50	Sabine	DERRIER	F	Pussy French	spd	150	150	8	150	8	false	ras
34	Christelle	CHAMPAGNAC	F	Cantal Apnee	spd	180	180	9	180	9	false	ras
52	Laurent	BREIDENBACH	H	TOPSTAR	spd	37	37	1	37	1	false	ras
26	Martin	ZAJAC	H	Apneaman CZE	spd	40	40	2	40	2	false	ras
6	Loick	STIENNE	H	BBIG	spd	45	45	3	45	3	false	ras
11	Kevin	PROVENZANI	H	FORZAPNEA	spd	45	45	3	45	3	false	ras
54	Olivier	ELU	H	TOPSTAR	spd	45	45	3	45	3	false	ras
58	Martin	CITEK	H	Apneaman2	spd	55	55	6	55	6	false	ras
24	Florian	PEDROLETTI	H	Les Chocs Eau Suisses	spd	60	60	7	60	7	false	ras
33	Francois	BUZET	H	Cantal Apnee	spd	65	65	8	65	8	false	ras
23	Nicolas	DESVALLEES	H	Les Chocs Eau Suisses	spd	70	70	9	70	9	false	ras
43	Philippe	FLAUDIAS	H	Les vieux de la vieille	spd	70	70	9	70	9	false	ras
16	Cedrick	CHAUMARD	H	Les Bras casses	spd	80	80	11	80	11	false	ras
46	Olivier	DURET	H	Pussy French	spd	80	80	11	80	11	false	ras
44	Patrick	BOUZAT	H	Les vieux de la vieille	spd	90	90	13	90	13	false	ras
19	Odilon	REIGNEAUD	H	Les Bras casses	spd	105	105	14	105	14	false	ras
4	Remi	BLASQUEZ	H	AURApnea	spd	175	175	15	175	15	false	ras
30	Jindriska	ZAJACOVA	F	Apneaman CZE	1650	990	990	1	990	1	false	ras
55	Magalie	SITERRE	F	TOPSTAR	1650	1050	1050	2	1050	2	false	ras
8	Maria	XIROUXAKI	F	BBIG	1650	1080	1080	3	1080	3	false	ras
42	Rosa	KONG A SIOU	F	Les vieux de la vieille	1650	1110	1110	4	1110	4	false	ras
