Id;Prénom;Nom;Sexe;Equipe;Epreuve;Resultat;Disqualification;Description
1;Florence;TABOUREL;F;AURApnea;spd;62.5;false;ras
4;Remi;BLASQUEZ;H;AURApnea;spd;135.1;false;ras
6;Loick;STIENNE;H;BBIG;spd;45.2;false;ras
8;Maria;XIROUXAKI;F;BBIG;spd;50.0;false;ras
11;Kevin;PROVENZANI;H;FORZAPNEA;spd;43.0;false;ras
13;Joanna;BOURRIEN;F;FORZAPNEA;spd;72.2;false;ras
16;Cedrick;CHAUMARD;H;Les Bras casses;spd;62.0;false;ras
19;Odilon;REIGNEAUD;H;Les Bras casses;spd;0;true;Sortie avant la fin
23;Nicolas;DESVALLEES;H;Les Chocs Eau Suisses;spd;74.9;false;ras
24;Florian;PEDROLETTI;H;Les Chocs Eau Suisses;spd;68.9;false;ras
26;Martin;ZAJAC;H;Apneaman CZE;spd;41.9;false;ras
30;Jindriska;ZAJACOVA;F;Apneaman CZE;spd;49.4;false;ras
33;Francois;BUZET;H;Cantal Apnee;spd;59.7;false;ras
34;Christelle;CHAMPAGNAC;F;Cantal Apnee;spd;148.7;false;ras
37;Leila;FABBI;F;Les ponneys fringants;spd;93.1;false;ras
38;Clara;HUGON;F;Les ponneys fringants;spd;114.9;false;ras
43;Philippe;FLAUDIAS;H;Les vieux de la vieille;spd;68.0;false;ras
44;Patrick;BOUZAT;H;Les vieux de la vieille;spd;65.5;false;ras
46;Olivier;DURET;H;Pussy French;spd;65.1;false;ras
50;Sabine;DERRIER;F;Pussy French;spd;0;true;Sortie a 75m
52;Laurent;BREIDENBACH;H;TOPSTAR;spd;37.8;false;ras
54;Olivier;ELU;H;TOPSTAR;spd;43.5;false;ras
58;Martin;CITEK;H;Apneaman2;spd;48.0;false;ras
60;Rebeka;STARKOVA;F;Apneaman2;spd;59.0;false;ras
