Id; Prenom; Nom; Sexe; Equipe; Epreuve; Annonce; Resultat; Place; Resultat pris en compte equipe; Place Equipe; Disqualification; Description
7;Anne;BORGAT;F;Cyrnea;dwf;155;155;1;155;1;false;ras
21;Emilie;VERNIER;F;Annecy-Lyon-Mulhouse apnée connexion;dwf;155;155;1;155;1;false;ras
12;Eléonore;HELLE;F;TOPSTAR DREAM TEAM;dwf;150;150;3;150;3;false;ras
20;Pauline;LODETTI;F;STARFISH;dwf;100;100;4;100;4;false;ras
8;Estelle;RIGAUD;F;Cyrnea;dwf;75;80.8;5;80.8;5;false;ras
34;Delphine;POMPIDOU;F;APNEEAU;dwf;65;65;6;65;6;false;ras
27;Albane;GAUBERT;F;Imashi;dwf;125;0;7;0;7;true;pause trop longue
13;Olivier;ELU;H;TOPSTAR DREAM TEAM;dwf;200;200;1;200;1;false;ras
3;Laurent;CONTI;H;Zen Team Panda 5;dwf;160;155;2;155;2;false;ras
22;Olivier;DURET;H;Annecy-Lyon-Mulhouse apnée connexion;dwf;130;130;3;130;3;false;ras
38;Damien;OJARDIAS;H;Blue Mussels;dwf;105;105;4;105;4;false;ras
17;Olivier;CELLARIER;H;STARFISH;dwf;100;100;5;100;5;false;ras
33;David;STROPPIANA;H;APNEEAU;dwf;90;90;6;90;6;false;ras
37;Stéphane;PETTENUZZO;H;Blue Mussels;dwf;85;85;7;85;7;false;ras
29;Paul;GERARD;H;Imashi;dwf;140;0;8;0;8;true;faute éliminatoire
