Id;Prénom;Nom;Sexe;Equipe;Epreuve;Resultat;Disqualification;Description
1;Florence;TABOUREL;F;Zen Team Panda 5;dwf;118.9;false;ras
3;Laurent;CONTI;H;Zen Team Panda 5;dwf;173;false;ras
7;Anne;BORGAT;F;Cyrnea;dwf;164.3;false;ras
8;Estelle;RIGAUD;F;Cyrnea;dwf;110.7;false;ras
12;Sandrine;MURBACH;F;TOPSTAR DREAM TEAM;dwf;150;false;ras
13;Olivier;ELU;H;TOPSTAR DREAM TEAM;dwf;200;false;ras
17;Olivier;CELLARIER;H;STARFISH;dwf;123.8;false;ras
20;Pauline;LODETTI;F;STARFISH;dwf;100;false;ras
21;Emilie;VERNIER;F;Annecy-Lyon-Mulhouse apnée connexion;dwf;167.5;false;1 nage surface hors zone virage (-10m)
22;Olivier;DURET;H;Annecy-Lyon-Mulhouse apnée connexion;dwf;0;true;PCM
26;Caroline;REGNARD;F;Imashi;dwf;104.9;false;ras
29;Paul;GERARD;H;Imashi;dwf;117.5;false;ras
33;David;STROPPIANA;H;APNEEAU;dwf;114.5;false;ras
34;Delphine;POMPIDOU;F;APNEEAU;dwf;77.1;false;ras
37;Stéphane;PETTENUZZO;H;Blue Mussels;dwf;0;true;2 fin ok (signe)
40;Valérie;TERRENOIRE;F;Blue Mussels;dwf;101;false;ras
44;Katerina;SURANSKA;F;Apneaman - Praha - Czech Republic;dwf;130.5;false;ras
45;Barbora;IVANSKA;F;Apneaman - Praha - Czech Republic;dwf;155.4;false;ras
